완독일,구분,도서제목,저자,출판사,링크
2024년 8월 13일,사회과학,진짜 노동,데니스 뇌르마르크,자음과모음,https://www.yes24.com/Product/Goods/125973926
2024년 8월 8일,경제경영,새로운 시대 조직의 조건,"김미진, 조미나, 최철규",위즈덤하우스,https://www.yes24.com/Product/Goods/114870754
2024년 8월 7일,경제경영,임원 : 인사제도와 인사관리,정종태,한국인사관리협회,https://www.yes24.com/Product/Goods/118299766
2024년 8월 5일,경제경영,휴탈리티: 미래 인재의 조건,박정열,저녁달,https://www.yes24.com/Product/Goods/124026886
2024년 8월 2일,경제경영,수평 조직의 구조,김성남,스리체어스,https://www.yes24.com/Product/Goods/90227155
2024년 7월 26일,사회과학,숫자 사회,임의진,웨일북,https://www.yes24.com/Product/Goods/119651321
2024년 7월 23일,경제경영,인디펜던트 워커,"정혜윤, 무과수, 박지호, 김겨울, 차우진, 고지현, 박영훈, 박신후, 오성원",스리체어스,https://www.yes24.com/Product/Goods/97795059
2024년 7월 22일,경제경영,대이직 시대,원티드랩,스리체어스,https://www.yes24.com/Product/Goods/124808779
2024년 7월 21일,인문,제너레이션 : 세대란 무엇인가,진 트웬지,매일경제신문사,https://www.yes24.com/Product/Goods/124094293
2024년 7월 15일,경제경영,전략적 사고의 11가지 법칙,김성준,포르체,https://www.yes24.com/Product/Goods/126520670
2024년 7월 9일,인문,삶이 허기질 때 나는 교양을 읽는다,지식 브런치,서스테인,https://www.yes24.com/Product/Goods/110012431
2024년 7월 2일,경제경영,THICK data 씩 데이터,백영재,테라코타,https://www.yes24.com/Product/Goods/120253973
2024년 6월 29일,경제경영,ChatGPT x HR,"김기진, 조용민, 고동록, 박호진, 최요섭, 심영보, 박은혜, 정미령, 이수연, 이정택, 유병선, 조원규, 홍규원, 하기태, 박동국, 한권수",에릭스토리,https://www.yes24.com/Product/Goods/120501352
2024년 6월 27일,인문,만족한다는 착각,마틴 슈뢰더,한국경제신문사,https://www.yes24.com/Product/Goods/124060151
2024년 6월 25일,문학,참을 수 없는 존재의 가벼움 ,밀란 쿤데라,민음사,https://www.yes24.com/Product/Goods/61933303
2024년 6월 19일,경제경영,리더의 질문법,"에드거 샤인, 피터 샤인",심심,https://www.yes24.com/Product/Goods/107997384
2024년 6월 17일,인문,애플에서는 단순하게 일합니다,박지수,알에이치코리아,https://www.yes24.com/Product/Goods/126820403
2024년 6월 14일,경제경영,LEAN HR,이용훈,한빛미디어,https://www.yes24.com/Product/Goods/124910370
2024년 6월 9일,인문,하마터면 깨달을 뻔,크리스 나이바우어,정신세계사,https://www.yes24.com/Product/Goods/53563889
2024년 6월 4일,인문,실패는 나침반이다,한기용,이오스튜디오,https://www.yes24.com/Product/Goods/125116480
2024년 5월 31일,인문,일과 공간의 재창조,"제레미 마이어슨, 필립 로스",알에이치코리아,https://www.yes24.com/Product/Goods/123649483
2024년 5월 27일,경제경영,스타트업 HR 팀장들,"강정욱, 김민교, 윤명훈",원티드북스,https://www.yes24.com/Product/Goods/126338963
2024년 5월 22일,경제경영,요즘 팀장의 오답 노트,서현직,웅진지식하우스,https://www.yes24.com/Product/Goods/119773488
2024년 5월 20일,경제경영,철학을 잊은 리더에게,기시미 이치로,다산북스,https://www.yes24.com/Product/Goods/116585566
2024년 5월 20일,사회과학,경험은 어떻게 유전자에 새겨지는가,데이비드 무어,아몬드,https://www.yes24.com/Product/Goods/122320521
2024년 5월 13일,인문,프로페셔널 스튜던트,김용섭,퍼블리온,https://www.yes24.com/Product/Goods/97521289
2024년 5월 12일,경제경영,슈퍼사이트,데이비드 로즈,흐름출판,https://www.yes24.com/Product/Goods/121807826
2024년 5월 9일,경제경영,데이터와 사례로 보는 미래의 직장,이중학,클라우드나인,https://www.yes24.com/Product/Goods/117643953
2024년 5월 2일,인문,자유로부터의 도피,에리히 프롬,휴머니스트,https://www.yes24.com/Product/Goods/92129129
2024년 4월 17일,경제경영,직무의 종말,최준형,파지트,https://www.yes24.com/Product/Goods/125660292
2024년 4월 15일,경제경영,의미의 시대,세스 고딘,알에이치코리아,https://www.yes24.com/Product/Goods/123239443
2024년 4월 12일,경제경영,실리콘밸리의 HR 이야기,박영희,한국인사관리협회,https://www.yes24.com/Product/Goods/119977265
2024년 4월 10일,경제경영,리더라면 한번은 만나게 될 이슈들,예지은,삼성글로벌리서치,https://www.yes24.com/Product/Goods/116575386
2024년 4월 8일,경제경영,요즘 팀장은 이렇게 일합니다,백종화,중앙북스,https://www.yes24.com/Product/Goods/102419448
2024년 4월 1일,경제경영,The HR,변연배,클라우드나인,https://www.yes24.com/Product/Goods/118578944
2024년 3월 31일,문학,가여운 것들,앨러스데어 그레이,황금가지,https://www.yes24.com/Product/Goods/118597185
2024년 3월 26일,사회과학,절반 세대가 온다,한국일보 창간기획팀,현암사,https://www.yes24.com/Product/Goods/124094903
2024년 3월 25일,사회과학,인구 미래 공존,조영태,북스톤,https://www.yes24.com/Product/Goods/101893205
2024년 3월 19일,경제경영,"기업문화, 조직을 움직이는 미래 에너지",기업문화 cell,아템포,https://www.yes24.com/Product/Goods/119862181
2024년 3월 14일,경제경영,오늘부터 퍼실리테이터,"김재인, 박상신, 박주연, 우성희, 전현정, 한영숙, 허지은",플랜비디자인,https://www.yes24.com/Product/Goods/118710040
2024년 3월 12일,경제경영,더 퍼실리테이션,주현희,플랜비디자인,https://www.yes24.com/Product/Goods/94074326
2024년 3월 4일,경제경영,넥스트 밸류,"신한카드 빅데이터연구소, 신사임, 이다혜, 이윤진, 정유라, 구대로",김영사,https://www.yes24.com/Product/Goods/123899523
2024년 3월 2일,경제경영,"조직문화 재구성, 개인주의 공동체를 꿈꾸다",최지훈,플랜비디자인,https://www.yes24.com/Product/Goods/89643957
2024년 2월 28일,경제경영,성과를 내는 팀장의 완벽한 리더십,"유경철, 이인우",천그루숲,https://www.yes24.com/Product/Goods/115800369
2024년 2월 25일,인문,일하는 사람을 위한 MBTI,백종화,중앙북스,https://www.yes24.com/Product/Goods/116052421
2024년 2월 20일,경제경영,조직문화가 전략을 살린다,"안근용, 조원규, 한승진",플랜비디자인,https://www.yes24.com/Product/Goods/71985690
2024년 2월 18일,경제경영,네이키드 애자일,"장재웅, 상효이재",미래의창,https://www.yes24.com/Product/Goods/83544770
2024년 2월 17일,인문,행복의 기원,서은국,21세기북스,https://www.yes24.com/Product/Goods/102182557
2024년 2월 16일,인문,시대예보 : 핵개인의 시대,송길영,교보문고,https://www.yes24.com/Product/Goods/122457906
2024년 2월 13일,경제경영,The Goal 2,이재형,플랜비디자인,https://www.yes24.com/Product/Goods/124622543
2024년 2월 11일,경제경영,성과관리,류랑도,쌤앤파커스,https://www.yes24.com/Product/Goods/104207592
2024년 2월 8일,인문,바바라 민토 논리의 기술,바바라 민토,더난출판사,https://www.yes24.com/Product/Goods/77671422
2024년 2월 5일,경제경영,성과관리 운영사례,월간인사관리편집팀,한국인사관리협회,https://www.yes24.com/Product/Goods/103223432
2024년 2월 4일,문학,가녀장의 시대,이슬아,이야기장수,https://www.yes24.com/Product/Goods/114273352
2024년 1월 31일,경제경영,OKR 파워 실천편,"신주은, 홍효인",가인지캠퍼스,https://www.yes24.com/Product/Goods/123807409
2024년 1월 29일,사회과학,권력과 진보,"대런 아세모글로, 사이먼 존슨",생각의힘,https://www.yes24.com/Product/Goods/119809159
2024년 1월 27일,문학,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,https://www.yes24.com/Product/Goods/123675187
2024년 1월 23일,인문,정리하는 뇌,대니엘 J. 래비틴,와이즈베리,https://www.yes24.com/Product/Goods/18599174
2024년 1월 21일,인문,내향인 개인주의자 그리고 회사원,"조준호, 김경일",저녁달,https://www.yes24.com/Product/Goods/122880893
2024년 1월 17일,인문,상자 밖에 있는 사람,아빈저연구소,위즈덤하우스,https://www.yes24.com/Product/Goods/11520753
2024년 1월 14일,경제경영,턴어라운드,데이비드 마르케,세종서적,https://www.yes24.com/Product/Goods/90614302
2024년 1월 14일,인문,해적의 시대를 건너는 법,박웅현,인티N,https://www.yes24.com/Product/Goods/123294893
2024년 1월 9일,경제경영,새로운 HR을 꿈꾸는 인사담당자를 위한 실무 안내서,김재순,바른북스,https://www.yes24.com/Product/Goods/124019103
2024년 1월 8일,인문,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,https://www.yes24.com/Product/Goods/119562091
2024년 1월 7일,문학,맡겨진 소녀,클레어 키건,다산북스,https://www.yes24.com/Product/Goods/118569079
2024년 1월 3일,경제경영,온보딩,"김윤정, 김정현, 김화정, 박진일, 박찬규, 박한샘, 장정관, 전수정, 정우성, 조한겸, 지정훈",플랜비디자인,https://www.yes24.com/Product/Goods/123930779
2024년 1월 2일,경제경영,오늘부터 조직문화 담당자,이지안,플랜비디자인,https://www.yes24.com/Product/Goods/114942315
2023년 12월 31일,경제경영,팀장의 탄생,줄리 주오,더퀘스트,https://www.yes24.com/Product/Goods/92425227
2023년 12월 27일,인문,평범하게 비범한 철학 에세이,김필영,스마트북스,https://www.yes24.com/Product/Goods/119629184
2023년 12월 23일,인문,참 괜찮은 태도,박지현,메이븐,https://www.yes24.com/Product/Goods/112942777
2023년 12월 21일,경제경영,더 팀,아사노 고지,리더스북,https://www.yes24.com/Product/Goods/86543051
2023년 12월 20일,인문,미래의 나를 구하러 갑니다,변지영,더퀘스트,https://www.yes24.com/Product/Goods/121154759
2023년 12월 19일,인문,데일리 필로소피,"라이언 홀리데이, 스티븐 핸슬먼",다산초당,https://www.yes24.com/Product/Goods/105775371
2023년 12월 17일,사회과학,AI2041,"리카이푸, 천치우판",한빛비즈,https://www.yes24.com/Product/Goods/116860343
2023년 12월 15일,인문,로지컬 라이팅,데루야 하나코,비즈니스북스,https://www.yes24.com/Product/Goods/76899650
2023년 12월 13일,인문,로지컬 씽킹,"데루야 하나코, 오카다 게이코",비즈니스북스,https://www.yes24.com/Product/Goods/76899643
2023년 11월 29일,경제경영,아마존의 팀장 수업,김태강,더퀘스트,https://www.yes24.com/Product/Goods/102366162
2023년 11월 23일,경제경영,더 딜리트,"조영덕, 정성만, 박현석",플랜비디자인,https://www.yes24.com/Product/Goods/90237671
2023년 11월 21일,경제경영,더 체인지,허일무,플랜비디자인,https://www.yes24.com/Product/Goods/91582440
2023년 11월 17일,인문,창의성이 없는 게 아니라 꺼내지 못하는 것입니다,김경일,샘터,https://www.yes24.com/Product/Goods/85930293
2023년 11월 16일,사회과학,슬기로운 생활법률,박일환,EBS BOOKS,https://www.yes24.com/Product/Goods/102791236
2023년 11월 13일,문학,"그대들, 어떻게 살 것인가",요시노 겐자부로,양철북,https://www.yes24.com/Product/Goods/7264453
2023년 11월 11일,인문,기획의 정석,박신영,세종서적,https://www.yes24.com/Product/Goods/110241725
2023년 11월 9일,경제경영,인 앤 스테이,"이인규, 김용은, 최대영, 양진미",북스고,https://www.yes24.com/Product/Goods/119629057
2023년 11월 7일,문학,불타는 작품,윤고은,은행나무,https://www.yes24.com/Product/Goods/122689424
